Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
pistols_challenges,,,,,"Pipe Pistol, Pistol, or SMG",,,,,,,,,,,,,管手槍、手槍或 SMG
crossbow_challenges,,,,,Any crossbow,,,,,,,,,,,,,任意弩
turrent_challenges,,,,,Auto Turret or Shotgun Turret,,,,,,,,,,,,,自動砲塔或霰彈槍砲塔
challengePlaceElectricFencePost,,,,,Place Electric Fencepost,,,,,,,,,,,,,放置電動柵欄
challengePlaceelectricwirerelay,,,,,Place Electric Relay,,,,,,,,,,,,,放置繼電器
meleeSneakChallenge,,,,,Melee Sneak Challenge,,,,,,,,,,,,,近戰潛行挑戰
meleeSneakChallengeDesc,,,,,Kill any zombie with melee weapon while sneaking.,,,,,,,,,,,,,潛行時用近戰武器殺死任何殭屍戰鬥武器。
rangedGunSneakChallenge,,,,,Gun Sneak Challenge,,,,,,,,,,,,,槍械潛行挑戰
rangedGunSneakChallengeDesc,,,,,Kill any zombie with any guns while sneaking.,,,,,,,,,,,,,潛行時用任何槍殺死任何殭屍。
rangedSneakChallenge,,,,,Ranged Sneak Challenge,,,,,,,,,,,,,遠程潛行挑戰
rangedSneakChallengeDesc,,,,,Kill any zombies with any ranged weapons.,,,,,,,,,,,,,使用任何遠程武器殺死任何殭屍。
killzombieswithstealthStreak,,,,,Sneak Kill Streak,,,,,,,,,,,,,潛行連殺
killzombieswithstealthStreakDesc,,,,,Kill multiple zombies with sneak damage in a row.,,,,,,,,,,,,,連續以潛行傷害殺死多個殭屍。
killzombieswithstealthStreakBow,,,,,Kill Streak using a bow while sneaking,,,,,,,,,,,,,潛行時使用弓連續殺
killzombieswithstealthStreakBowDesc,,,,,Kill multiple zombies in a row with a bow while sneaking.,,,,,,,,,,,,,潛行時用弓連續殺死多個殭屍。
killzombieswithstealthStreakKnife,,,,,Kill Streak using a Knife while sneaking.,,,,,,,,,,,,,潛行時使用刀連續殺死。
killzombieswithstealthStreakKnifeDesc,,,,,Kill multiple zombies in a row with a knife while sneaking.,,,,,,,,,,,,,潛行時用刀連續殺死多個殭屍。
killzombieswithstealthStreakClub,,,,,Kill Streak using a club while sneaking.,,,,,,,,,,,,,潛行時使用棍棒進行連殺。
killzombieswithstealthStreakClubDesc,,,,,Kill multiple zombies in a row with a club while sneaking.,,,,,,,,,,,,,潛行時用棍棒連續殺死多個殭屍。
killzombieswithstealthStreakSpear,,,,,Kill Streak using a spear while sneaking.,,,,,,,,,,,,,潛行時使用長矛殺死連勝。
killzombieswithstealthStreakSpearDesc,,,,,Kill multiple zombies in a row with a spear while sneaking.,,,,,,,,,,,,,潛行時用長矛連續殺死多個殭屍。
SCore01challenges_key,,,,,SCore 01 Challenges,,,,,,,,,,,,,分數 01 挑戰
hireNPCs,,,,,Hire NPCs,,,,,,,,,,,,,僱用 NPC
hireNPCsNurse,,,,,Hire a Nurse with a Knife,,,,,,,,,,,,,僱用一名帶刀護士
hireNPCsMale,,,,,Hire a male NPC,,,,,,,,,,,,,僱用一名男性 NPC
hireNPCsFemale,,,,,Hire a female NPC,,,,,,,,,,,,,僱用一名女性 NPC
hireNPCsMaleBurnt,,,,,Hire a Male NPC in the burnt forest,,,,,,,,,,,,,在燒毀的森林中僱用一名男性 NPC
hireNPCsFemaleWithItem,,,,,Hire a female holding goldenrod flower,,,,,,,,,,,,,僱用一位拿著一枝黃花的女性
hireNPCsMaleWithItem,,,,,Hire a male NPC with some brass in your hand,,,,,,,,,,,,,僱用一個男性 NPC，手裡拿著一些黃銅
hireNPCsMaleWithmaterial,,,,,Hire a male NPC with a wood material in your hand.,,,,,,,,,,,,,僱用一名男性 NPC，手裡拿著木質材料。
onHarvest,,,,,Harvest,,,,,,,,,,,,,收穫
NPC_title,,,,,Hire NPCs,,,,,,,,,,,,,僱用 NPC
SCore03challenges_key,,,,,Harvests,,,,,,,,,,,,,收穫
challengeKillZombiesWithItemDesc,,,,,Kill Zombies,,,,,,,,,,,,,殺死殭屍
challengeKillWithItemDesc,,,,,Kill,,,,,,,,,,,,,殺
challengeObjectiveGatherTags,,,,,Gather items with the tag(s),,,,,,,,,,,,,收集帶有標籤
challengeObjectiveOnCVar,,,,,Get CVar,,,,,,,,,,,,,的物品獲取CVar
challengeObjectiveOnBlockUpgrade,,,,,Upgrade Block,,,,,,,,,,,,,升級塊
challengeObjectiveCraftWithTags,,,,,Craft with tags,,,,,,,,,,,,,帶標籤的工藝
repair_limit_reached,,,,,Repair Reached For This Item.,,,,,,,,,,,,,該商品已修復。
score_versioncheck_mismatchTitle,,,,,Version Mismatch Detected,,,,,,,,,,,,,偵測到版本不符
score_versioncheck_mismatchDesc,,,,,The game version ({0}) does not match the mod version ({1}). This may cause issues.,,,,,,,,,,,,,遊戲版本 ({0}) 與模組版本 ({1}) 不符。這可能會導致問題。
sprinkler_manual_on,,,,,Sprinkler Manual On,,,,,,,,,,,,,灑水器手動開啟
sprinkler_manual_off,,,,,Sprinkler Manual Off,,,,,,,,,,,,,灑水裝置手動關閉
sprinkler_auto_on,,,,,Sprinkler Auto On,,,,,,,,,,,,,灑水裝置自動開啟
sprinkler_auto_off,,,,,Sprinkler Auto Off,,,,,,,,,,,,,噴水器自動關閉
sprinkler_auto,,,,,Sprinkler Auto,,,,,,,,,,,,,自動噴水滅火
sprinkler_manual,,,,,Sprinkler Manual,,,,,,,,,,,,,噴頭手冊
sprinkler_auto_desc,,,,,Sprinkler Auto,,,,,,,,,,,,,自動噴水滅火
sprinkler_manual_desc,,,,,Sprinkler Manual,,,,,,,,,,,,,噴頭手冊
sharedReadingDesc,,,,,Shared Reading from,,,,,,,,,,,,,分享閱讀
sharedReadingSourceDesc,,,,,Sharing To Party Members,,,,,,,,,,,,,分享給黨員
poi_no_building,,,,,No Building Within This POI.,,,,,,,,,,,,,此 POI 內沒有建築物。
LearnByDoingLevelUp,,,,,Skill Level Up! You are a better,,,,,,,,,,,,,技能等級提升！你是一個更好的
challengePlaceBlockByTag,,,,,Place Block with Tag,,,,,,,,,,,,,放置帶有標籤的區塊
BrokenItem,,,,,Broken,,,,,,,,,,,,,破碎
xuiNeedPower,,,,,Power,,,,,,,,,,,,,電源
lblQuestAreaTimer,,,,,RETURN TO QUEST AREA!,,,,,,,,,,,,,返回任務區！
challengeHarvestHoney,,,,,Destroy Tree Stumps,,,,,,,,,,,,,摧毀樹樁
challengeHarvestHoneyShort,,,,,Destroy Tree Stumps to find Honey and Insects.,,,,,,,,,,,,,摧毀樹樁尋找蜂蜜和昆蟲。
challengeHarvestHoneyDesc,,,,,Destroying [DECEA3]Tree Stumps[-] will award you with [DECEA3]Honey[-] which can be used to treat and reduce the negative effects of an [DECEA3]Infection[-]. Watch out for [FF6666]Asylum Insects[-] that may emerge!\n\n[DECEA3]Infection[-] will begin to drain your [DECEA3]Stamina[-] and eventually your main [DECEA3]Attributes[-]. [DECEA3]Infections[-] are lethal within [DECEA3]7[-] in-game days.\n\nTreatments for [DECEA3]Infection[-] reduce the [DECEA3]Infection[-] progression by the amount listed on the item.\n\nThe [DECEA3]Infection[-] buff banner on the HUD will change to show the improvement status.,,,,,,,,,,,,,摧毀[DECEA3]樹樁[-]將獎勵您[DECEA3]蜂蜜[-]，它可用於治療和減少[DECEA3]感染[-]的負面影響。小心可能出現的[FF6666]瘋人院昆蟲[-]！ \n \n [DECEA3]感染[-]將開始耗盡你的[DECEA3]耐力[-]並最終耗盡你的主要[DECEA3]屬性[-]。 [DECEA3] 感染[-] 在遊戲內[DECEA3] 7 [-] 天內致命。 \n \n 治療[DECEA3] 感染[-] 將[DECEA3] 感染[-] 進展減少該項目所列的量。 \n \n HUD 上的 [DECEA3] 感染 [-] 增益橫幅將會改變以顯示改善狀態。
challengeStatHarvestHoney,,,,,Stumps Destroyed:,,,,,,,,,,,,,樹樁被摧毀：
buffHarvestHoneyName,,,,,Stump Destroyed!,,,,,,,,,,,,,樹樁被毀！
buffHarvestHoneyDesc,,,,,You destroyed a tree stump!,,,,,,,,,,,,,你摧毀了一個樹樁！
noteDuke01,,,,,Warning from The Asylum,,,,,,,,,,,,,來自瘋人院的警告
noteDuke01Desc,,,,,"[FF0000]WARNING - ASYLUM TERRITORY[FFFFFF]\n[FF6666]You have entered our domain, survivor.[FFFFFF]\n[FF0000]Cross us and there will be consequences. We are not as forgiving as the old world.[FFFFFF]\n[FF00FF]The madness has only just begun...[FFFFFF]\n-The Asylum",,,,,,,,,,,,,[FF0000] 警告 - 瘋人院領地 [FFFFFF] \n [FF6666] 你已進入我們的領地，倖存者。 [FFFFFF] \n [FF0000] 越過我們，就會產生後果。我們不像舊世界那麼寬容。 [FFFFFF] \n [FF00FF] 瘋狂才剛開始...... [FFFFFF] \n - 瘋人院
quest_WhiteRiverCitizen1_description,,,,,"[FF6666]Excellent work, survivor.[FFFFFF]\n You have proven yourself capable in our twisted world. We have marked your map with the nearest White River Outpost location.\n[FFFF00]Visit the trader there to receive your Class Token[FFFFFF] - a representation of your past life before the madness consumed everything. This token will unlock your true potential.\n[FF00FF]The asylum's influence grows stronger...[FFFFFF]\n-The Asylum",,,,,,,,,,,,,[FF6666] 幹得好，倖存者。 [FFFFFF] \n 你已經在我們扭曲的世界中證明了自己的能力。我們已在您的地圖上標記了最近的白河前哨站位置。 \n [FFFF00] 拜訪那裡的商人，接收你的職業代幣 [FFFFFF] - 代表你在瘋狂吞噬一切之前的前世。該代幣將釋放您的真正潛力。 \n [FF00FF] 瘋人院的影響力越來越強... [FFFFFF] \n -瘋人院
meleeToolPickT3Jackhammer,,,,,Jackhammer,,,,,,,,,,,,,手提鑽
meleeToolPickT3JackhammerDesc,,,,,"Make the ground tremble with this powerful Jackhammer and leave other miners in awe as you pulverize rocks in seconds. Fueled by sheer force, it's perfect for smashing rocks, but not so effective on metals.",,,,,,,,,,,,,使用這款強大的手提鑽讓大地顫抖，並在幾秒鐘內粉碎岩石，讓其他礦工驚嘆不已。在純粹的力量推動下，它非常適合粉碎岩石，但對金屬不太有效。
ChooseCharacterDesc,,,,,[FFFF00]Welcome to the Asylum![FFFFFF]\n\nThe outbreak has begun. You have a [00FF00]Class Token[FFFFFF] representing your past life before the madness took hold. Choose wisely:\n\n[FF6666]• Ward Nurse[FFFFFF] - Former medical staff with healing knowledge\n[8B4513]• Workshop Patient[FFFFFF] - Repair therapy taught you to fix things\n[00AA00]• Garden Patient[FFFFFF] - Therapy in the gardens taught you to grow food\n[FFD700]• Groundskeeper Patient[FFFFFF] - You know the asylum's hidden areas\n[FF6B35]• Kitchen Patient[FFFFFF] - Food therapy taught you culinary skills\n[8FBC8F]• Security Patient[FFFFFF] - Former guard with survival instincts\n[556B2F]• Orderly Patient[FFFFFF] - Military background with combat training\n\n[FF00FF]Check the crafting menu for detailed backgrounds and equipment!,,,,,,,,,,,,,[FF6B35][FFFF00]歡迎來到瘋人院！ [FFFFFF] \n \n 疫情已經開始。你有一個[00FF00]等級令牌[FFFFFF]代表你在瘋狂發生之前的前世。明智地選擇： \n \n [FF6666] • 病房護理師 [FFFFFF] - 具有治療知識的前醫務人員 \n [8B4513] • 車間病人 [FFFFFF] - 修復治療教您修理東西 \n [00AA00] • 花園病人 [FFFFFF] - 花園治療教您種植食物 \n [FFD700] 管理員所知道的區域廚房病人[FFFFFF] - 食物療法教你烹飪技巧\n [8FBC8F] • 保安病人[FFFFFF] - 具有生存本能的前警衛\n [556B2F] • 秩序井然的病人[FFFFFF] - 接受過戰鬥訓練的軍事背景\n \n [FF00FF] 檢查製作菜單以了解詳細的背景和裝備！
CobbledOldTurret,,,,,Cobbled Old Turret,,,,,,,,,,,,,鵝卵石鋪成的舊砲塔
CobbledOldTurretDesc,,,,,"A makeshift turret cobbled together from scrap parts and duct tape. It's not pretty, but it'll shoot anything you feed it.",,,,,,,,,,,,,用廢棄零件和膠帶拼湊而成的臨時砲塔。它並不漂亮，但它會射擊你餵牠的任何東西。
DW_CropGrowPlate,,,,,Cursed Growth Plate,,,,,,,,,,,,,被詛咒的生長板
DW_CropGrowPlateDesc,,,,,A [00FF00]blood-stained metal plate[-] that pulses with unnatural energy. Plants grow unnaturally fast when exposed to its malevolent influence.,,,,,,,,,,,,,一塊[00FF00]沾滿血跡的金屬板[-]，以不自然的能量脈動。當植物受到其惡意影響時，會異常快速地生長。
DW_GreenThumbElixer,,,,,Madman's Garden Elixir,,,,,,,,,,,,,狂人花園靈丹妙藥
DW_GreenThumbElixerDesc,,,,,A [00FF00]putrid green concoction[-] brewed from the fingernails of deceased patients. Forces nearby plants to grow at an alarming rate.,,,,,,,,,,,,,[00FF00]由已故病人的指甲釀造而成的腐爛綠色混合物[-]。迫使附近的植物以驚人的速度生長。
MtitaniumT_shapes,,,,,Titanium Shapes,,,,,,,,,,,,,鈦形狀
SVETGAppleTreeEndEmpty,,,,,Harvested Apple Tree,,,,,,,,,,,,,收穫的蘋果樹
SVETGBarCounter,,,,,[8B4513]Asylum Bar Counter[-],,,,,,,,,,,,,[8B4513] 瘋人院酒吧櫃檯 [-]
SVETGBarCounterDesc,,,,,[8B4513]Professional bar station[-] from the [8B0000]Asylum's recreation room[-]. The [FFAA00]polished surface[-] is perfect for [AA0000]mixing cocktails[-] and [00FF00]serving spirits[-].\n\n[AAAAAA]Crafted in: Workbench[-],,,,,,,,,,,,,[8B4513] 專業酒吧站[-] 來自[8B0000] 瘋人院娛樂室[-]。 [FFAA00]拋光錶面[-]非常適合[AA0000]混合雞尾酒[-]和[00FF00]盛裝烈酒[-]。 \n \n [AAAAAA]製作於：工作台[-]
SVETGBeeHive,,,,,[FFD700]Asylum Bee Hive[-],,,,,,,,,,,,,[FFD700] 瘋人院蜂巢 [-]
SVETGBeeHiveDesc,,,,,[FFD700]Buzzing beehive[-] maintained in the [8B0000]Asylum's apiary[-]. The [FFAA00]hexagonal chambers[-] house [AA0000]busy worker bees[-] producing [00FF00]sweet honey[-].\n\n[AAAAAA]Crafted in: Workbench[-],,,,,,,,,,,,,[FFD700] 嗡嗡作響的蜂箱 [-] 維護在 [8B0000] 瘋人院的養蜂場 [-] 中。 [FFAA00]六角形房間[-]房子[AA0000]忙碌的工蜂[-]生產[00FF00]甜蜂蜜[-]。 \n \n [AAAAAA]製作於：工作台[-]
SVETGBeeHiveFull,,,,,[FFD700]Asylum Bee Hive (Full)[-],,,,,,,,,,,,,[FFD700] 瘋人院蜂巢（已滿）[-]
SVETGBoarTrap,,,,,[8B4513]Asylum Boar Trap[-],,,,,,,,,,,,,[8B4513] 瘋人院野豬陷阱 [-]
SVETGBoarTrapDesc,,,,,[8B4513]Heavy-duty trap[-] engineered in the [8B0000]Asylum's workshop[-]. The [FFAA00]reinforced design[-] can capture [AA0000]dangerous boars[-] for [00FF00]premium meat[-].\n\n[AAAAAA]Crafted in: Workbench[-],,,,,,,,,,,,,[8B4513] 重陷阱 [-] 在 [8B0000] 瘋人院車間 [-] 中設計。 [FFAA00]加強設計[-]可以捕獲[AA0000]危險的野豬[-]取得[00FF00]優質肉類[-]。 \n \n [AAAAAA] 製作於：工作台[-]
SVETGBoarTrapFull,,,,,[8B4513]Asylum Boar Trap (Full)[-],,,,,,,,,,,,,[8B4513] 瘋人院野豬陷阱（滿）[-]
SVETGButcherTable,,,,,[8B0000]Asylum Butcher Table[-],,,,,,,,,,,,,[8B0000] 瘋人院屠夫桌 [-]
SVETGButcherTableDesc,,,,,[8B0000]Professional butcher station[-] from the [8B0000]Asylum's meat processing room[-]. The [FFAA00]stainless steel surface[-] is perfect for [AA0000]skinning and filleting[-] [00FF00]fresh game[-].\n\n[AAAAAA]Crafted in: Workbench[-],,,,,,,,,,,,,[8B0000] 專業屠宰站[-] 來自[8B0000] 瘋人院的肉類加工室[-]。 [FFAA00]不鏽鋼表面[-]非常適合[AA0000]去皮切片[-][00FF00]新鮮野味[-]。 \n \n [AAAAAA]製作於：工作台[-]
SVETGCabbagePlant,,,,,Cabbage Plant,,,,,,,,,,,,,捲心菜植物
SVETGCabbagePlantPlayer,,,,,Cabbage Plant,,,,,,,,,,,,,捲心菜植物
SVETGCabbagegrowing,,,,,Young Cabbage,,,,,,,,,,,,,年輕的捲心菜
SVETGChickenCoop,,,,,[DEB887]Asylum Chicken Coop[-],,,,,,,,,,,,,[DEB887] 瘋人院雞舍 [-]
SVETGChickenCoopDesc,,,,,[DEB887]Secure chicken shelter[-] built in the [8B0000]Asylum's farmyard[-]. The [FFAA00]protective structure[-] keeps [AA0000]chickens safe[-] from predators while providing [00FF00]fresh eggs daily[-].\n\n[AAAAAA]Crafted in: Workbench[-],,,,,,,,,,,,,[DEB887] 安全的雞舍 [-] 建在 [8B0000] 瘋人院的農場 [-] 中。 [FFAA00] 保護結構[-] 使[AA0000] 雞[-] 免受捕食者的侵害，同時每天提供[00FF00] 新鮮雞蛋[-] 。 \n \n [AAAAAA]製作於：工作台[-]
SVETGChickenCoopFull,,,,,[DEB887]Asylum Chicken Coop (Full)[-],,,,,,,,,,,,,[DEB887] 瘋人院雞舍（已滿）[-]
SVETGChickenTrap,,,,,[DEB887]Asylum Chicken Trap[-],,,,,,,,,,,,,[DEB887] 瘋人院雞陷阱 [-]
SVETGChickenTrapDesc,,,,,[DEB887]Simple but effective trap[-] designed in the [8B0000]Asylum's workshop[-]. The [FFAA00]clever mechanism[-] captures [AA0000]wandering chickens[-] for [00FF00]fresh eggs and meat[-].\n\n[AAAAAA]Crafted in: Workbench[-],,,,,,,,,,,,,[DEB887]簡單但有效的陷阱[-]在[8B0000]瘋人院的工作室中設計[-]。 [FFAA00]巧妙的機制[-]捕獲[AA0000]流浪的雞[-]以獲得[00FF00]新鮮的雞蛋和肉[-]。 \n \n [AAAAAA]製作於：工作台[-]
SVETGChickenTrapFull,,,,,[DEB887]Asylum Chicken Trap (Full)[-],,,,,,,,,,,,,[DEB887] 瘋人院雞陷阱（滿）[-]
SVETGCompostBin,,,,,[8B4513]Asylum Compost Bin[-],,,,,,,,,,,,,[8B4513] 瘋人院堆肥箱 [-]
SVETGCompostBinDesc,,,,,[8B4513]Organic waste container[-] from the [8B0000]Asylum's gardens[-]. The [FFAA00]decomposition process[-] transforms [AA0000]kitchen scraps[-] into [00FF00]nutrient-rich soil[-].\n\n[AAAAAA]Crafted in: Workbench[-],,,,,,,,,,,,,[8B4513] 有機廢棄物容器 [-] 從 [8B0000] 瘋人院花園 [-]。 [FFAA00]分解過程[-]將[AA0000]廚餘[-]轉化為[00FF00]營養豐富的土壤[-]。 \n \n [AAAAAA] 製作於：工作台[-]
SVETGCuttingBoard,,,,,[DEB887]Asylum Cutting Board[-],,,,,,,,,,,,,[DEB887] 瘋人院切菜板 [-]
SVETGCuttingBoardDesc,,,,,[DEB887]Heavy-duty cutting board[-] from the [8B0000]Asylum's kitchen[-]. The [FFAA00]thick wood surface[-] withstands [AA0000]countless preparations[-] for [00FF00]culinary creations[-].\n\n[AAAAAA]Crafted in: Inventory[-],,,,,,,,,,,,,[DEB887] 重切菜板 [-] 來自 [8B0000] 收容所廚房 [-] 。 [FFAA00]厚實的木質表面[-]可以承受[AA0000]無數的準備工作[-]用於[00FF00]烹飪創作[-]。 \n\n[AAAAAA]製作於：庫存[-]
SVETGDecoSagesTools,,,,,Tribute to Sage,,,,,,,,,,,,,向聖人致敬
SVETGDecoSagesToolsDesc,,,,,"Sage's building tools — she likes to build a lot.\nI mean, a lot a lot.\n\n\n\n\n\n\nCrafted in: Workbench",,,,,,,,,,,,,Sage 的建造工具——她非常喜歡建造。 \n 我的意思是，很多很多。 \n \n \n \n \n \n \n 製作於：工作台
SVETGDecoSmitesCauldron,,,,,Tribute to Smite,,,,,,,,,,,,,向《神之浩劫》致敬
SVETGDecoSmitesCauldronDesc,,,,,He uses this to brew his favorite thing — hotter-than-hell salsa.\nVery spicy.\n\n\n\n\n\n\nCrafted in: Workbench,,,,,,,,,,,,,他用它來釀造他最喜歡的東西——比地獄更熱的莎莎醬。 \n 非常辣。 \n \n \n \n \n \n \n 製作於：工作台
SVETGDecoTheScriptHD,,,,,Script's Statue,,,,,,,,,,,,,腳本的雕像
SVETGDecoTheScriptHDDesc,,,,,"I wanted a statue as well, okay?\nWhy a samurai, you ask?\nWell, my logo is a samurai, it's red, and I'm a weeb.\nDon’t judge me.\n\n\n\n\n\n\nCrafted in: Workbench",,,,,,,,,,,,,我也想要一個雕像，可以嗎？ \n 你問為什麼是武士？ \n 嗯，我的標誌是一個武士，它是紅色的，我是一個哭泣者。 \n不要評斷我。 \n \n \n \n \n \n \n 製作於：工作台
SVETGDecoWhiskeysWhiskey,,,,,Tribute to Whiskey,,,,,,,,,,,,,向威士忌致敬
SVETGDecoWhiskeysWhiskeyDesc,,,,,"Whiskey on a rock and a pickaxe — both of his favorite things, I think.\n\n\n\n\n\n\nCrafted in: Workbench",,,,,,,,,,,,,搖滾威士忌和鎬——我想這都是他最喜歡的東西。 \n \n \n \n \n \n \n 製作於：工作台
SVETGDecoWolfCarston,,,,,Tribute to Carston,,,,,,,,,,,,,向卡斯頓致敬
SVETGDecoWolfCarstonDesc,,,,,A lone wolf and a Canadian. He likes his milk in a bag. Weird.\n\n\n\n\n\n\nCrafted in: Workbench,,,,,,,,,,,,,一隻孤獨的狼和一個加拿大人。他喜歡袋裝牛奶。詭異的。 \n \n \n \n \n \n \n 製作於：工作台
SVETGDeerTrap,,,,,[DEB887]Asylum Deer Trap[-],,,,,,,,,,,,,[DEB887] 瘋人院鹿陷阱 [-]
SVETGDeerTrapDesc,,,,,"[DEB887]Gentle trap[-] crafted in the [8B0000]Asylum's workshop[-]. The [FFAA00]humane design[-] captures [AA0000]graceful deer[-] for [00FF00]lean, healthy meat[-].\n\n[AAAAAA]Crafted in: Workbench[-]",,,,,,,,,,,,,[DEB887]溫柔的陷阱[-]在[8B0000]瘋人院的工作室製作[-]。 [FFAA00]人性化設計[-]捕捉[AA0000]優雅的鹿[-]為[00FF00]瘦肉、健康肉[-]。 \n \n [AAAAAA]製作於：工作台[-]
SVETGDeerTrapFull,,,,,[DEB887]Asylum Deer Trap (Full)[-],,,,,,,,,,,,,[DEB887] 瘋人院鹿陷阱（滿）[-]
SVETGFermentingBarrel,,,,,[8B4513]Asylum Fermenting Barrel[-],,,,,,,,,,,,,[8B4513] 瘋人院發酵桶 [-]
SVETGFermentingBarrelDesc,,,,,[8B4513]Wooden fermenting barrel[-] from the [8B0000]Asylum's distillery[-]. The [FFAA00]aged oak[-] imparts [AA0000]complex flavors[-] to [00FF00]alcoholic beverages[-] during fermentation.\n\n[AAAAAA]Crafted in: Workbench[-],,,,,,,,,,,,,[8B4513] 木製發酵桶 [-] 來自 [8B0000] 瘋人院釀酒廠 [-]。 [FFAA00]陳年橡木[-]在發酵過程中賦予[AA0000]複雜的風味[-]至[00FF00]酒精飲料[-]。 \n \n [AAAAAA]製作於：工作台[-]
